iter	RMSE
0	2.568889627
1	2.562583642
2	2.554157316
3	2.54669041
4	2.53907372
5	2.531475925
6	2.526497076
7	2.519246165
8	2.512867714
9	2.504536199
10	2.499710803
11	2.493341242
12	2.485882158
13	2.477537688
14	2.470592496
15	2.467507539
16	2.460091647
17	2.455180355
18	2.448020247
19	2.442584696
20	2.435692344
21	2.429194895
22	2.420731411
23	2.412649683
24	2.40740208
25	2.400425638
26	2.398073413
27	2.390914291
28	2.384407175
29	2.378992491
30	2.370732586
31	2.363300566
32	2.356445191
33	2.348096574
34	2.340461893
35	2.334034331
36	2.327583774
37	2.319958198
38	2.318265855
39	2.312197708
40	2.305391909
41	2.297952764
42	2.293152212
43	2.288717925
44	2.282064215
45	2.275586617
46	2.272589852
47	2.266056957
48	2.259506806
49	2.25254442
50	2.246432625
51	2.240493931
52	2.2342649
53	2.227893559
54	2.221835795
55	2.215722301
56	2.214602183
57	2.208665916
58	2.203345057
59	2.198084834
60	2.192585669
61	2.185965705
62	2.180110882
63	2.175703027
64	2.169475959
65	2.165245399
66	2.160172312
67	2.155218484
68	2.148391224
69	2.145604306
70	2.139762018
71	2.136155576
72	2.131415243
73	2.126362425
74	2.121505442
75	2.11530165
76	2.109380278
77	2.106043219
78	2.100486719
79	2.095007656
80	2.090362177
81	2.083517575
82	2.079533077
83	2.074156444
84	2.069254009
85	2.068236613
86	2.063423161
87	2.05790211
88	2.052394435
89	2.049995469
90	2.043549165
91	2.038404075
92	2.032667506
93	2.027626525
94	2.022798746
95	2.018815365
96	2.013762819
97	2.009062432
98	2.005480836
99	1.999981992
100	1.994894437
101	1.990744728
102	1.985285651
103	1.98027397
104	1.974694784
105	1.968643695
106	1.965067726
107	1.959074093
108	1.955929936
109	1.951310855
110	1.946275762
111	1.940196112
112	1.935300403
113	1.930309889
114	1.92432981
115	1.919487944
116	1.913204655
117	1.909945179
118	1.905412194
119	1.901164922
120	1.896472718
121	1.893748826
122	1.888941518
123	1.883596857
124	1.879103462
125	1.874626322
126	1.869602839
127	1.865146892
128	1.860055326
129	1.855285594
130	1.850817338
131	1.847052168
132	1.843604196
133	1.838618069
134	1.833589351
135	1.828814808
136	1.824320502
137	1.822583809
138	1.818303032
139	1.81553685
140	1.811157331
141	1.807070815
142	1.802817775
143	1.798319214
144	1.793707189
145	1.789767548
146	1.786909768
147	1.783897773
148	1.779288283
149	1.773990908
150	1.769535554
151	1.765372547
152	1.761735723
153	1.757441385
154	1.753483084
155	1.750101881
156	1.747387784
157	1.744177209
158	1.739629688
159	1.73522521
160	1.732989688
161	1.728811562
162	1.72434498
163	1.720151361
164	1.715725458
165	1.713070467
166	1.709027389
167	1.70482593
168	1.700690964
169	1.696870563
170	1.693404584
171	1.689439168
172	1.68515318
173	1.682533335
174	1.678402843
175	1.677259881
176	1.675397465
177	1.671815892
178	1.668014817
179	1.665334152
180	1.661160923
181	1.658441349
182	1.654962633
183	1.651546805
184	1.649421562
185	1.645491692
186	1.641538708
187	1.637832334
188	1.634070735
189	1.630176061
190	1.625949975
191	1.622184938
192	1.617942491
193	1.614436936
194	1.6112652
195	1.606980447
196	1.603015702
197	1.600691598
198	1.596933555
199	1.594006939
200	1.591195947
201	1.587704268
202	1.583874687
203	1.580408992
204	1.57707516
205	1.573285473
206	1.569351957
207	1.56604133
208	1.562392204
209	1.558151363
210	1.554498615
211	1.552577168
212	1.54974417
213	1.546940587
214	1.543069676
215	1.540947332
216	1.537381265
217	1.534665886
218	1.531053108
219	1.527370721
220	1.524108329
221	1.520804931
222	1.517441009
223	1.513807127
224	1.510380541
225	1.507118096
226	1.503559391
227	1.500476602
228	1.496056742
229	1.492845549
230	1.490530639
231	1.487844681
232	1.484817795
233	1.482525023
234	1.4805224
235	1.478067229
236	1.475008976
237	1.472733438
238	1.469506104
239	1.466238172
240	1.463308403
241	1.46155716
242	1.458313234
243	1.455678732
244	1.452869553
245	1.449762816
246	1.447170712
247	1.443737754
248	1.441856119
249	1.439156007
250	1.436057416
251	1.433479378
252	1.430353838
253	1.42836246
254	1.426626924
255	1.424088408
256	1.421158415
257	1.419058442
258	1.416025529
259	1.412731407
260	1.409894214
261	1.406996333
262	1.404398284
263	1.401696906
264	1.398460847
265	1.395449714
266	1.392753651
267	1.389928488
268	1.388158138
269	1.387118448
270	1.384998463
271	1.38356174
272	1.380385613
273	1.37727767
274	1.374364488
275	1.371284812
276	1.36885869
277	1.365760385
278	1.362419073
279	1.359818659
280	1.359409899
281	1.356480024
282	1.353416584
283	1.350340505
284	1.347698162
285	1.344654783
286	1.341849444
287	1.339189188
288	1.337087361
289	1.334625548
290	1.332732958
291	1.329417423
292	1.326583672
293	1.324075959
294	1.321634017
295	1.318632027
296	1.316083531
297	1.313353226
298	1.312024927
299	1.309004774
300	1.307209326
301	1.304522849
302	1.302445377
303	1.299621003
304	1.29729288
305	1.295080203
306	1.292490155
307	1.289611647
308	1.286963427
309	1.284752761
310	1.282217993
311	1.279795457
312	1.276547938
313	1.274229137
314	1.271295766
315	1.268307628
316	1.266893166
317	1.264145019
318	1.262897604
319	1.261147598
320	1.258570069
321	1.256939859
322	1.255329358
323	1.252974193
324	1.251034865
325	1.248623753
326	1.246385812
327	1.244220235
328	1.241937337
329	1.239763233
330	1.237822288
331	1.235768411
332	1.233742911
333	1.231387898
334	1.22870627
335	1.226856788
336	1.225483396
337	1.223437966
338	1.220653906
339	1.219342827
340	1.216866496
341	1.215077256
342	1.212840473
343	1.210349589
344	1.2080456
345	1.206283275
346	1.203868512
347	1.201663366
348	1.199334039
349	1.196801054
350	1.194290322
351	1.192436878
352	1.190076073
353	1.18798695
354	1.185880166
355	1.184183171
356	1.182080947
357	1.181123615
358	1.178871096
359	1.176577477
360	1.174345796
361	1.171538409
362	1.169382297
363	1.166897179
364	1.165954603
365	1.16401074
366	1.16236873
367	1.160342883
368	1.158271429
369	1.155319697
370	1.153166428
371	1.150859102
372	1.148975488
373	1.146613196
374	1.145800423
375	1.14338639
376	1.141813648
377	1.139300707
378	1.138015102
379	1.135799701
380	1.133843947
381	1.132522006
382	1.13077303
383	1.128920821
384	1.126843652
385	1.12484439
386	1.122990665
387	1.121064846
388	1.118893685
389	1.116856876
390	1.114949212
391	1.113085876
392	1.11098701
393	1.109091787
394	1.107990217
395	1.10624431
396	1.104585748
397	1.102712038
398	1.101849611
399	1.099824463
400	1.09830036
401	1.096831599
402	1.095750205
403	1.094602463
404	1.092914877
405	1.092686058
406	1.090483198
407	1.088377946
408	1.08771025
409	1.085553542
410	1.083635809
411	1.081742368
412	1.0797886
413	1.078931412
414	1.077008217
415	1.07479105
416	1.073132969
417	1.071632612
418	1.069555747
419	1.068040553
420	1.065834051
421	1.064001761
422	1.06228293
423	1.060560135
424	1.059333246
425	1.057987676
426	1.055851133
427	1.053422932
428	1.05173819
429	1.050005112
430	1.048132242
431	1.046767702
432	1.044795624
433	1.042502498
434	1.040859648
435	1.039494948
436	1.037990901
437	1.035867574
438	1.034272632
439	1.032088166
440	1.030919878
441	1.029692914
442	1.027784844
443	1.026699891
444	1.024421253
445	1.022734933
446	1.020966076
447	1.018965833
448	1.016858991
449	1.015365583
450	1.014150806
451	1.012359779
452	1.010809135
453	1.008978021
454	1.007306748
455	1.006327163
456	1.004479528
457	1.002678163
458	1.000933527
459	0.9992741796
460	0.9973137769
461	0.995788787
462	0.9942278017
463	0.9924560801
464	0.9913376516
465	0.9904134235
466	0.98859778
467	0.9869308857
468	0.9852308489
469	0.983527169
470	0.9817948962
471	0.9801215175
472	0.9785229782
473	0.9773138317
474	0.9757666428
475	0.9746888058
476	0.9733690422
477	0.9713136993
478	0.9698437092
479	0.9680676906
480	0.9664262758
481	0.9646504823
482	0.9627850936
483	0.961365655
484	0.9597694181
485	0.9580721643
486	0.9563273296
487	0.9548104321
488	0.9529468415
489	0.9513343059
490	0.9500814517
491	0.9485131737
492	0.9469157413
493	0.9452083792
494	0.9435091833
495	0.9418004896
496	0.9402377311
497	0.9384206024
498	0.9368414588
499	0.9355684372
