iter	Passed	Remaining
0	0	141
1	0	125
2	1	172
3	1	193
4	4	455
5	4	409
6	5	380
7	6	389
8	6	376
9	7	374
10	7	345
11	8	346
12	9	347
13	9	336
14	10	335
15	10	316
16	11	316
17	11	306
18	11	299
19	12	297
20	12	290
21	13	292
22	13	286
23	14	278
24	14	269
25	14	271
26	14	262
27	15	262
28	16	261
29	16	257
30	17	257
31	17	254
32	17	252
33	18	251
34	18	249
35	19	248
36	19	243
37	19	240
38	19	235
39	20	236
40	21	235
41	21	232
42	21	230
43	21	226
44	22	227
45	23	227
46	23	223
47	24	226
48	24	227
49	24	224
50	25	224
51	25	223
52	26	222
53	26	222
54	27	219
55	27	218
56	27	215
57	28	215
58	28	213
59	28	210
60	29	209
61	29	207
62	29	206
63	29	203
64	30	203
65	30	201
66	30	199
67	31	197
68	31	197
69	31	194
70	32	194
71	32	193
72	32	191
73	33	190
74	33	188
75	33	187
76	34	186
77	34	184
78	35	187
79	35	188
80	36	186
81	36	185
82	36	184
83	37	185
84	38	186
85	38	184
86	38	184
87	39	183
88	39	184
89	40	182
90	40	183
91	41	184
92	42	187
93	43	187
94	43	186
95	44	185
96	44	183
97	44	183
98	44	181
99	45	181
100	45	180
101	45	178
102	46	178
103	46	178
104	47	177
105	47	176
106	47	175
107	47	173
108	48	172
109	48	171
110	48	170
111	49	170
112	49	169
113	50	170
114	50	170
115	51	170
116	51	170
117	52	168
118	52	168
119	52	167
120	53	167
121	53	165
122	53	165
123	54	164
124	54	164
125	54	162
126	55	162
127	55	162
128	56	162
129	56	161
130	61	172
131	61	171
132	61	170
133	62	170
134	62	169
135	63	169
136	63	168
137	63	167
138	64	166
139	64	165
140	65	167
141	66	166
142	66	166
143	66	165
144	67	165
145	67	163
146	67	162
147	67	161
148	68	161
149	68	160
150	69	160
151	69	160
152	70	159
153	70	158
154	70	157
155	71	157
156	71	156
157	71	155
158	72	154
159	72	154
160	72	153
161	73	153
162	73	152
163	74	152
164	74	151
165	75	150
166	75	150
167	75	149
168	75	148
169	76	148
170	76	147
171	76	146
172	77	145
173	77	145
174	77	144
175	78	143
176	78	142
177	78	142
178	79	141
179	79	140
180	79	140
181	81	141
182	81	141
183	84	144
184	84	143
185	84	143
186	85	143
187	86	143
188	87	143
189	87	143
190	88	143
191	89	143
192	89	142
193	90	142
194	90	141
195	91	141
196	91	140
197	91	139
198	91	139
199	92	138
200	92	137
201	92	137
202	93	136
203	93	135
204	93	135
205	94	134
206	94	134
207	95	133
208	96	134
209	96	133
210	97	133
211	97	132
212	97	131
213	97	130
214	97	129
215	98	129
216	98	128
217	98	127
218	98	127
219	99	126
220	99	125
221	99	125
222	100	124
223	100	123
224	100	123
225	101	123
226	101	122
227	102	122
228	103	122
229	103	121
230	103	120
231	104	120
232	104	120
233	104	119
234	105	118
235	105	118
236	106	117
237	106	116
238	106	116
239	106	115
240	106	114
241	107	114
242	107	113
243	107	113
244	108	112
245	108	112
246	108	111
247	109	111
248	109	110
249	110	110
250	110	109
251	111	109
252	111	109
253	111	108
254	112	107
255	112	107
256	113	107
257	113	106
258	114	106
259	114	106
260	115	105
261	116	105
262	116	105
263	117	104
264	117	104
265	118	104
266	118	103
267	119	103
268	119	102
269	119	101
270	119	101
271	119	100
272	120	99
273	120	99
274	120	98
275	121	98
276	121	98
277	122	97
278	122	97
279	122	96
280	122	95
281	123	95
282	123	94
283	124	94
284	124	93
285	124	93
286	125	92
287	125	92
288	126	92
289	126	91
290	127	91
291	127	90
292	127	90
293	129	90
294	130	90
295	131	90
296	131	90
297	132	89
298	132	89
299	133	88
300	133	88
301	133	87
302	134	87
303	134	86
304	134	86
305	135	85
306	135	85
307	136	84
308	136	84
309	136	83
310	137	83
311	138	83
312	138	82
313	139	82
314	139	81
315	140	81
316	140	80
317	140	80
318	140	79
319	141	79
320	141	78
321	141	78
322	142	78
323	142	77
324	143	77
325	143	76
326	144	76
327	144	75
328	145	75
329	145	75
330	146	74
331	146	74
332	147	73
333	147	73
334	147	72
335	148	72
336	148	71
337	148	71
338	149	70
339	149	70
340	150	70
341	150	69
342	151	69
343	151	68
344	151	68
345	151	67
346	152	67
347	152	66
348	153	66
349	153	65
350	153	65
351	154	64
352	154	64
353	154	63
354	155	63
355	155	62
356	155	62
357	155	61
358	156	61
359	157	61
360	157	60
361	158	60
362	159	60
363	159	59
364	160	59
365	160	58
366	160	58
367	161	57
368	161	57
369	161	56
370	162	56
371	162	56
372	163	55
373	163	55
374	164	54
375	165	54
376	165	53
377	165	53
378	166	53
379	166	52
380	166	52
381	167	51
382	167	51
383	167	50
384	168	50
385	168	49
386	168	49
387	169	48
388	169	48
389	169	47
390	170	47
391	170	47
392	170	46
393	171	46
394	171	45
395	172	45
396	172	44
397	173	44
398	173	44
399	174	43
400	174	43
401	175	42
402	175	42
403	175	41
404	175	41
405	175	40
406	176	40
407	176	39
408	176	39
409	176	38
410	177	38
411	177	37
412	178	37
413	178	37
414	178	36
415	179	36
416	179	35
417	180	35
418	180	34
419	181	34
420	181	34
421	182	33
422	182	33
423	182	32
424	182	32
425	183	31
426	183	31
427	183	30
428	184	30
429	184	30
430	185	29
431	185	29
432	185	28
433	186	28
434	186	27
435	186	27
436	187	27
437	188	26
438	188	26
439	189	25
440	189	25
441	189	24
442	189	24
443	190	23
444	190	23
445	190	23
446	191	22
447	191	22
448	192	21
449	192	21
450	192	20
451	192	20
452	193	20
453	193	19
454	194	19
455	194	18
456	194	18
457	195	17
458	196	17
459	196	17
460	197	16
461	197	16
462	197	15
463	197	15
464	198	14
465	198	14
466	198	14
467	199	13
468	199	13
469	199	12
470	200	12
471	200	11
472	200	11
473	201	11
474	202	10
475	202	10
476	203	9
477	203	9
478	204	8
479	204	8
480	205	8
481	205	7
482	205	7
483	206	6
484	206	6
485	207	5
486	207	5
487	207	5
488	208	4
489	208	4
490	208	3
491	209	3
492	209	2
493	210	2
494	211	2
495	211	1
496	211	1
497	212	0
498	212	0
499	212	0
